,lyrics_title,lyrics
174,Up All Night (Ft. Nicki Minaj) Lyrics, verse 1  drake  kush rolled  glass full  i prefer the better things niggas with no money act like money isn t everything i m havin  a good time  they just trying to ruin it shout out to the fact that i m the youngest nigga doing it cap on  brim bent  denzel  every time she ain t tryna pop that shit for pimp  okay  well nevermind i i i tried to told you  drizzy still ain t nothin  nice bracelet saying  you should quit   cars saying  fuck your life  okay now we outta here  toodles to you bitches and if you dolled up  i got the voodoo for you bitches  yeah  i m busy gettin  rich  i don t want trouble i made enough for two niggas  boy  stunt double fame is like a drug that i ve taken too much of but i never ever trip  just peace  happiness and love i got money in these jeans  so they fit me kinda snug plus the game is in my pocket  nigga this is what i does   chorus  drake  i m about whatever man  fuck what they be talkin  about they opinion doesn t count  we the only thing that matters aww  so we do it how we do it all up in your face man  i hate to put you through it i be up all night  whole crew s in here cause i don t really know who i ma lose this year aww  man i love my team man i love my team  i would die for them niggas  aww   verse 2  nicki minaj  drizzy say get her  i ma get her i got the kind of money  make a broke bitch bitter i got that kinda wait  wait fixate which bitch you know made a million off a mixtape  that was just a keepsake  bought the president the louis presidential briefcase  never been a cheapskate we got the hawks  i ain t talkin  about the peach state man  for pete s sake  scratch that sweepstakes  ha ha ha ha ha  fuck i look like  ho  i look like  yes  and you like  no  i m a bad bitch  i ain t never been a mixed breed on a diet  but i m doin  donuts in a 6 speed m6 in front of m2 i see a lot of rap bitches on the menu but i collect 100 thou  at the venue and pop bottles with my team  young money  til the death of me   chorus  drake  i m about whatever man  fuck what they be talkin  about they opinion doesn t count  we the only thing that matters aww  so we do it how we do it all up in your face man  i hate to put you through it i be up all night  whole crew s in here cause i don t really know who i ma lose this year aww  man i love my team man i love my team  i would die for them niggas  aww   interlude  nicki minaj   drake  i mean  we can t even rock them shoes if it don t got a comma on the price tag  you know  i mean  i mean but then again who  who looks at the price tag  you know  aww yeah we in this bitch  uhh  aww  aww  aww aww yeah we in this bitch aww  aww  aww   chorus  drake  i m about whatever man  fuck what they be talkin  about they opinion doesn t count  we the only thing that matters aww  so we do it how we do it all up in your face man  i hate to put you through it i be up all night  whole crew s in here cause i don t really know who i ma lose this year aww  man i love my team man i love my team  i would die for them niggas  aww
175,Fancy (Ft. Swizz Beatz & T.I.) Lyrics, produced by swizz beatz   noah  40  shebib    intro  swizz beatz  go  go  head  go  go  go  go  go  go  head  go  go  go  go  go  go  go  go  go  head go  go  go  go  go  go  head   chorus  swizz beatz  oh  you fancy  huh  oh  you fancy  huh  oh  you fancy  huh  oh  you fancy  huh  nails done  hair done  everything did nails done  hair done  everything did oh  you fancy  huh  oh  you fancy  huh  you you fancy huh  oh  you fancy  huh  nails done  hair done  everything did nails done  hair done  everything did oh  you fancy  huh    verse 1  drake  uh  you getting ready so i know we gon  be here awhile in the bathroom flat irons and nail files spending hours in salons on your hairstyles in the mall steady racking up the air miles hit the gym  step on the scales  stare at the number you say you droppin  10 pounds preparin  for summer and you don t do it for the man  men never notice you just do it for yourself  you re the fucking coldest intelligent too  ooh you re my sweetheart i ve always liked my women book and street smart long as they got a little class like half days and the confidence to overlook my past ways time heals all and heels hurt to walk in but they go with the clutch that you carry your lip gloss in and look  i really think nobody does it better i love the way that you put it together  uh   chorus  swizz beatz  oh  you fancy  huh  oh  you fancy  huh  oh  you fancy  huh  oh  you fancy  huh  nails done  hair done  everything did nails done  hair done  everything did oh  you fancy  huh  oh  you fancy  huh  you you fancy huh  oh  you fancy  huh  nails done  hair done  everything did nails done  hair done  everything did   sup  girl  oh  you fancy  huh    verse 2  t i   well  aren t you a breath of fresh air  from all these superficial gold digging bitches in here they get a baller  figure they ain t got to pick a career guess they plan on sucking dicks until some millions appear like  voil    you do it right he just might buy you a car now she play these suckers just like b o b play the guitar now here you are with your girls having drinks at the bar i say i m buying  you decline  that is kinda bizarre independent with the demeanor of an r b singer naked ring finger  m3 bimmer champagne range  triple white jag closet full of brand new clothes and handbags alexander mcqueen  prada  gucci  chanel d g  bcbg  versace  louis and bebe you ain t needy  greedy or easy as these other breezy s who fuck for bottles of riesling and bowls of baked ziti   chorus  swizz beatz  oh  you fancy  huh  oh  you fancy  huh  oh  you fancy  huh  oh  you fancy  huh  nails done  hair done  everything did nails done  hair done  everything did oh  you fancy  huh  oh  you fancy  huh  you you fancy huh  oh  you fancy  huh  nails done  hair done  everything did nails done  hair done  everything did oh  you fancy  huh    interlude  drake   swizz beatz  atlanta girls  let me see your hands  yeah  wave  em at them bitches hating on you with their friends  come on  girl you got it  let  em know that everything big nails done hair done  everything big and my ny girls  let me see your hands wave  em at them bitches hating on you with their friends  come on  girl you got it  let  em know that everything big nails done hair done  everything big and my la girls  let me see your hands wave  em at them bitches hating on you with their friends  come on  girl you got it  let  em know everything big nails done hair done  everything big and my to girls  let me see your hands wave  em at them bitches hating on you with their friends  yeah  girl you got it  let  em know everything big nails done  hair done nails done  hair done say go cinderella  go cinderella orgasm blush  lipstick and concealer devil in a tight dress  girl you a killer and ain t nobody realer  and ain t nobody realer  go go  go  go  go  go  go  go  showtime  go  go  go  go  go  as we proceed    verse 3  drake  uh  5 and a half in boys  ass is off the hook cinderella  bout to lose the glass off her foot and when i find it is when i find you and we can do the things we never got the time to better late than never but never late is better they tell me time is money  well we ll spend it together i m down for whatever  you just lead the way we go to dinner you don t even look at me to pay mature women with more than me were the first to tempt me and jason had this girl tammy with a purple bentley how she got it i ain t never get to ask i just knew that she was fine like a ticket on the dash yeah  but shout out to the homeowners the girls that got diplomas and enough money to loan us a little something extra  should we ever need it if it sounds like you  then let me hear you repeat it   chorus  swizz beatz  oh  you fancy  huh  oh  you fancy  huh  oh  you fancy  huh  oh  you fancy  huh  nails done  hair done  everything did nails done  hair done  everything did oh  you fancy  huh  oh  you fancy  huh  you you fancy huh  oh  you fancy  huh  nails done  hair done  everything did nails done  hair done  everything did oh  you fancy  huh   fancy 
176,Shut It Down (Ft. The-Dream) Lyrics, part i    intro  drake  hey  oh oh these girls ain t got nothing on you   verse 1  drake  uh  say baby  i had to mention that if you were a star  you d be the one i m searching for other girls they  they got attention but i just always feel like they re in need of something you got it s obvious you re pretty heard that you re a student working weekends in the city tryna take you out girl  hope you re not too busy and if there s nothing wrong  got this little song for you to get ready to  put those fucking heels on and work it girl let that mirror show you what you re doing put that fucking dress on and work it kind of vicious like somebody s taking pictures   chorus  drake  shut it down  aye  down  aye  down  aye  you would shut it down  aye  down  aye  down  aye  you d be the baddest girl around  aye   round  aye   round  aye  and they d notice  they d notice you would shut it down  aye  down  aye  down  aye  you would shut it down  aye  down  aye  down  aye  you d be the baddest girl around  aye   round  aye   round  aye  and they d notice  they d notice you would shut it    interlude  drake   the dream  hey  oh oh these girls ain t got nothing on you they ain t got nothing on you they ain t got nothing on youki killa  killa   verse 2  the dream  uh  girl you the greatest and if he say you ain t  girl he s out his mind you re the finest  oh whoa  and if he say you ain t  that boy done lost his mind hey baby  every time you come around shutting it down like computers hey lady  step into my heart and let me put you in them louboutins what you want  what you need  yeah  i can be  yeah  your everything them other niggas just wanna hit it but if they had it  wouldn t know what to do with it   chorus  drake   the dream  drake   the dream  and together  we shut it down  aye  down  aye  down  aye  they know we d shut it down you would shut it down  aye  down  aye  down  aye  you d be the baddest girl around  aye  round  aye  round  aye  and they d notice  they d know  they d notice  they d know  you would shut it down  aye  down  aye  down  aye  they know we d shut it down you would shut it down  aye  down  aye  down  aye  every time we come around  aye  round  aye  round  aye   and they re on it  and they d notice  they d know  they d notice they d know you shut it down   bridge  the dream  tmz  concrete loop you shut that motherfucker down  down ice cream conversations  they all want the scoop you shut that motherfucker down  down   verse 3  drake   the dream  shooting stars all around her  fire  comets  yes indeed  i could bring her through and shut  em down  onyx no  you re not imagining  they re looking at you long stares even though she s standing out she looks like she belongs here you feel the hours pass  until you find somethin  i feel like when she moves  the time doesn t yeah  baby you finer than your fine cousin  and your cousin fine but she don t have my heart beating double time you just shut it down girl  who told the cops where the party was  why do i feel like i found the one  what s in these shots that you ordered us  damn  i mean you sure know how to paint a town ever since you came around  it s obvious    chorus  the dream   drake  you shut that thing down  you shut it down down  aye  down  aye  down  aye  you shut it down  you shut it down down  aye  down  aye  down  aye  you shut it down  you shut it down you d be the baddest girl around  aye   round  aye   round  aye  you shut it  oh  oh and they d notice  they d notice   bridge  the dream  you looking good girl  go  go  go get  em girl go  go  go hit  em girl  go  go  go  go  go  go you looking good girl  go  go  go get  em girl go  go  go hit  em girl  go  go  go  go  go  go you shut it down you shut it down  down  down  down  down      part ii    verse 4  drake  the way i m feeling  the things i say all just happen  when you pass my way what can i do  to make you stay  i know it s getting late  but girl  i don t want you to leave you tell me you re just not the type  you wanna do this right and i m not tryna say i don t believe you but i refuse to feel ashamed  and if you feel the same does waiting really make us better people  take them fucking heels off  it s worth it girl nothing is what i can picture you in so take that fucking dress off  i swear you won t forget me you ll be happy that you let me   outro  drake  lay you down  down  down i m tryna lay you down  down  down you still the baddest girl around   round   round they d notice  they d notice let me lay you down  down  down tryna lay you down  down  down you still the baddest girl around   round   round and they d notice  they d notice you would shut it
177,Unforgettable (Ft. Jeezy) Lyrics, intro  aaliyah  let me know  let me know ahhh  let me know let me know  let me know   verse 1  drake  uhh  yeah this is really one of my dumbest flows ever  i haven t slept in days and me and my latest girl agreed to go our separate ways so i m single  thinkin   bout what we had and missin  you but i ain t santa  i got somethin  for these bad bitches too i mean paparazzi on me  tryin  not to get caught out they always seem to catch me with the woman that i brought out baby don t hold on too long cause that s how them stories start out and all the girls that played me eat your muthafuckin  heart out it s drizzy  always gone but never hard to find and since you can t escape me  do i ever cross your mind  because all this shit is new to me  i m learnin  to behave and still spendin  every dollar they encourage me to save but i m good  i know that niggas would kill for this lifestyle i m lookin  forward to the memories of right now never forgettin  from where i came and no matter where i m headed  i promise to stay the same i m just   chorus  young jeezy   drake  i m just ridin   round the city with my hood on and my windows down ask your girl  i m the realest nigga she been around when i pull up in something new and park it by the haters and when you get to talkin   bout the greatest i just really hope that  i just really hope that you ll think of me  i just really hope that  you ll think of me  i just really hope that  you ll think of me  i m doing my thang  i m doing my thang  i m doing my thang  cause i m tryna be unforgettable    verse 2  young jeezy  this just might be my realest flow ever when i say  for life   y all say  forever  it s hard but it s fair  i told that girl life hurts the closest your gon  get to this is a pac t shirt the name s young baby  you know i live that thug life the good die young so i ma need a thug wife yeah  i m talkin  his and her firearms know our jewelry probably louder than a car alarm yeah  i remember i used to have to sneak the car now my insides looking like a snickers bar yeah  i m talking caramel leathers damn right  so fly i need feathers same shit in them streets  so what s the dilly  young done everything in the a but fuck chilli so welcome to my life  no two days the same like for y all to meet the love of my life  her name s the game   chorus  young jeezy   drake  i m just ridin   round the city with my hood on and my windows down ask your girl  i m the realest nigga she been around when i pull up in something new and park it by the haters and when you get to talkin   bout the greatest i just really hope that  i just really hope that you ll think of me  i just really hope that  you ll think of me  i just really hope that  you ll think of me  i m doing my thang  i m doing my thang  i m doing my thang  cause i m tryna be unforgettable    outro  young jeezy   aaliyah  got my top dropped on this beautiful night it s a beautiful night to live my beautiful life pain hurts like a cut from a beautiful knife just know she right here on my hip  my beautiful wife yeah  drizzy we got  em lil brah  unforgettable you ll never forget this  ya understand me  timeless homie  unforgettable let me know  let me know
178,Light Up (Ft. JAY-Z) Lyrics, verse 1  drake  uh  i ve been up for four days  gettin  money both ways dirty and clean  i could use a glass of cold spades rolexes  chauffers and low fades i keep thinkin   how young can you die from old age  they always tell me   nobody s workin  as hard as you  and even though i laugh it off  man  it s probably true  cause while all of my closest friends out partyin  i m just here makin  all the music that they party to but party on  party on all night  nigga i got these new rappers nervous  prom night  nigga i grow tired of these fuckin  grown man liars storytellers  they ain t even need a campfire uh  but i just want to tell the truth before one of these haters load a couple shells and shoot the shit feel like when fredro starr was in sunset park stuntin  hard in his yellow goose   yeah  and i m a motherfuckin  missed target but a target nonetheless  and i just started was that directed at moi  can t be they must be talkin  to themselves  hov  hands free yeah  and i m just fillin  up this daily planner gettin  busy  cause i m a star  no spangled banner jealous dudes get to talkin  in they music and i just say i wrote it for your girlfriends  kelsey grammer yeah  that s what life becomes when you re doin  you welcome to hollywood  don t let this town ruin you and if you pillow talkin  with the women that are screwin  you just know that she gon  tell another nigga when she through with you don t get impatient when it takes too long drink it all  even when it tastes too strong yeah  i got to feel alive  even if it kills me promise to always give you me  the real me   chorus  drake   jay z  who would ve thought i d be caught in this life  let s celebrate with a toast and get lost in tonight and make it all light up  ay guru tell  tell homegirl to open that ace right there     wait until the sun goes down we gon  make this bitch light up even when the sun goes down i ma make it go   verse 2  jay z  oww  hoes turn they heads like owls i m the man of the hour triple entendre  don t even ask me how con edison flow  i m connected to a higher power bright lights ll make your whole city light up a trillion watt light bulb when i m in the night club i just landed in that g450 caught the mayweather fight  cause the satellite was crispy  uhh y all can miss me with the money talk the smart money s on hov   fuck what the dummies talk  uhh i don t do too much bloggin  i just run the town  i don t do too much joggin  mm  i ain t got a scar yet  cause you fuckin  around with me and my dogs is far fetched drake  here s how they gon  come at you with silly rap feuds  tryin  to distract you in disguise  in the form of a favor the barzini meeting  watch for the traitors  uhh i done seen it all  done it all that s why none of these dum dums could done him off the summer s ours  the winter too top down in the winter  that s what winners do and to these niggas i m like windows 7 you let them tell it  they swear that they invented you and since no good deed go unpunished i m not as cool with niggas as i once was i once was cool as the fonz was but these bright lights turned me to a monster sorry  mama  i promised it wouldn t change me but i would have went insane had i remained the same me fuck niggas  bitches  too  all i got is this money   this ll do   chorus  drake  who would ve thought i d be caught in this life  let s celebrate with a toast and get lost in tonight and make it all light up wait until the sun goes down we gon  make this bitch light up even when the sun goes down i ma make it go
179,Miss Me (Ft. Lil Wayne) Lyrics, verse 1  drake   bun b  i said   tell me what s really goin  on  drizzy back up in this thing  i m ready  what s hannenin   gone for surgery but now i m back again i m  bout my paper like a motherfuckin  scratch and win world series attitude  champagne bottle life nothin  ever changes so tonight is like tomorrow night i will have a model wife  yo  bitch is as hot as ice every time you see me  i look like i hit the lotto twice drake  you got  em  right  yeah  i got  em  bun i love myself  cause i swear their life is just not as fun neeks got the weed  hush got a gun cj got my credit cards and a lot of ones yeah  i m in the city of the purple sprite someone tell maliah i m on fire  she should work tonight call up king of diamonds and tell chyna it d be worth the flight i ll be at my table  stackin  dollars to the perfect height work somethin   twerk somethin   basis she just tryna make it so she right here gettin  naked i don t judge her  i don t judge her but i could never love her  cause to her i m just a rapper and soon she ll have met another that s why me and lil jaz  bout to spaz  can you keep up  i m just feelin  sorry for whoever gotta sweep up yeah  bills everywhere  trill everything and drake just stand for do right and kill everything i love nicki minaj  i told her i d admit it i hope one day we get married just to say we fuckin  did it and girl  i m fuckin  serious  i m wit  it if you wit  it  cause yo  verses turn me on and yo  pants are mighty fitted ugh  damn  i think you caught me in a moment like i catch  em stealin  flows  cause i swear i never loaned it and life ain t a rehearsal  the camera s always rollin  so come and get a portion of this money that we blowin   cause it s on   chorus  drake  yeah  girl  it s on you know what it is when i finally make it home i just hope that you miss me a little when i m gone yeah i just hope that you miss me a little when i m gone and you just tell me what you down for  anything you down for i know things have changed  know i used to be around more but you should miss me a little when i m gone i just hope that you miss me a little when i m gone  gone  gone   verse 2  lil wayne  ooh  shit  motherfucker  god damn kickin  bitches out the condo like pam gettin  money every day  i m a groundhog  bout to scoop ya girl up like a ground ball i walk light so i don t piss the ground off man  i swear  my bitches do it  til they suck the brown off ew  that s nasty yes  i am weezy but i ain t asthmatic james bond cologne  honey i put on make  em run and tell they friends like a marathon voice baritone  haters carry on beat the pussy up  call me larry holmes young money s jerry sloan  i turn every stone when she masturbate to me  that s how she learn every song to the women i condone  better write me when i m gone no  i m not that thuggish  not that ruggish but i do pack bone uh  i m a love machine and i won t work for nobody but you it s only me and her  cause the bugatti a coupe it s blood gang  slime  but i parlay with snoop i ain t lyin   i shoot  you don t need signs for proof turn you to a vegetable like you lyin  in soup and when i m in the booth  bitch  the lion is loose man  i got so many styles  i am a group ha ha  damn  i ll be gone  til november but fuck it  i ain t trippin   i know drizzy gon  kill  em i m stickin  to the script like lint on denim momma said  if the rules ain t bent  don t bend  em  real nigga talkin    shut the fuck up  ho  gotta do it one time for haiti   what up  zo  weezy f  baby and the f is for front do   cause that s where i brang it soo woo if you bangin   motherfucker    chorus  drake  yeah  girl  it s on you know what it is when i finally make it home i just hope that you miss me a little when i m gone yeah i just hope that you miss me a little when i m gone and you just tell me what you down for  anything you down for i know things have changed  know i used to be around more but you should miss me a little when i m gone i just hope that you miss me a little when i m gone  gone  gone   outro  drake  uh  yeah  forever in our hearts jj  we love you boy h town  i m gone  i m gone  when i m gone i m gone  i m gone  when i m gone i just hope that you miss me  miss me miss me  miss me miss me a little when i m gone miss me a little when i m gone  gone  gone oh whoa  oh whoa  oh whoa
180,Cece's Interlude Lyrics, verse 1  all night i ve  been staring  can you tell i want you  can t be too  wide open  there s nothing  i won t do oh  just thought you should know   chorus  that s when you start to laugh saying i just want what i can t have won t even give me a chance claiming i m just not as serious as you shorty if you only knew  this is serious   verse 2  i wish i  wasn t famous i wish i  was still in school so that i could have you in my dorm room i would put it on you  crazy   chorus  that s when you start to laugh saying i just want what i can t have won t even give me a chance claiming i m just not as serious as you shorty if you only knew  this is serious   outro  up all night up all night up all night up all night up all night up all night up all night
181,Find Your Love Lyrics, verse 1  i m more than just an option  hey  hey  hey  refuse to be forgotten  hey  hey  hey  i took a chance with my heart  hey  hey  hey  and i feel it taking over   chorus  i better find your loving  i better find your heart i better find your loving  i better find your heart i better find your loving  i better find your heart i bet if i give all my love then nothing s gonna tear us apart   verse 2  i m more than just a number  hey  hey  hey  i doubt you ll find another  hey  hey  hey  so every single summer  hey  hey  hey  i ll be the one that you ll remember and    chorus  i better find your loving  i better find your heart i better find your loving  i better find your heart i better find your loving  i better find your heart i bet if i give all my love then nothing s gonna tear us apart   verse 3  it s more than just a mission  hey  hey  hey  you hear  but you don t listen  hey  hey  hey  you better pay attention  hey  hey  hey  and get what you ve been missing   chorus  i better find your loving  i better find your heart i better find your loving  i better find your heart i better find your loving  i better find your heart i bet if i give all my love then nothing s gonna tear us apart   bridge  too many times i ve been wrong i guess being right takes too long i m done waiting  there s nothing left to do but give all i have to you and   chorus  i better find your loving  i better find your heart i better find your loving i bet if i give all my love then nothing s gonna tear us apart i bet if i give all my love then nothing s gonna tear us apart
182,Thank Me Now Lyrics, chorus  you could thank me now  go  head thank me later  yeah i know what i said but later doesn t always come so instead it s okay  you could thank me now   verse 1  mahalo from the hardest act to follow lately i ve been drinking like there s a message in a bottle alohas to women with no ties to men that i know well  that way there are no lies you can thank me now for all the info i give to you niggas i m on the brink of influential  i m here for you niggas i guess a hit doesn t add up to a career for you niggas i must have been hard to watch  what a year for you niggas it s december 31st and we in miami just meditating you got your resolutions  we just got reservations living out a dream it feels like i stayed up and we just want to party  patron straight up fuck that old shit  i m on new things ovo clique  red wing boot gang yeah we want it all  half was never the agreement who would have thought the route we d chosen would ever end up this scenic  i can relate to kids going straight to the league when they recognize that you got what it takes to succeed and that s around the time that your idols become your rivals you make friends with mike but got to a i  him for your survival damn  i swear sports and music are so synonymous cause we want to be them  and they want to be us so on behalf of the demanded and the entertainment that you take for granted  you can thank me now and oh my goodness you re welcome  you re welcome at this point me is who i am trying to save myself from rappers hit me up and i never know what to tell them cause they think that i can help them get back to where they fell from but drink up  cause everyone here is good tonight except the niggas that i came with  they good for life that s how you know it s going down in case another chance never comes around   chorus  you could thank me now  go  head thank me later  yeah i know what i said but later doesn t always come so instead it s okay  you could thank me now   verse 2  shallow nigga but deep enough to have gone swimming i think i m spending all my time with the wrong women i think i ll have a chance at love and knowing me i ll miss it cause me dedicating my time just isn t realistic man  the good girls went silent on me they got a boyfriend  or left for college on me and all the bad ones i used to hit are friends now that make me wish i had a little less mileage on me but do i ever come up in discussion over double pump lattes and low fat muffins  do i  or is missing what we had out of the question  i m probably just the reason that you learned your lesson i got flows for the marilyn monroes who was there before it all  i guess that s how it goes they hear about your cons  but focus on your pros and love you for who you are from the bottom of their soul but those same ones from your area will grow into women that are ready to get married at hello because of what they allowed  where are they all now  i know they re somewhere watching so i m trying to make them proud searching for the meaning  you ll find it next to me they tell me i m the hottest  guess we finally get to see i m feeling like nas  who am i to disagree  they say the doors will open up soon as you find the missing key that s probably why i m in this bitch shining jump up in the sky and put the stars into alignment i rep the atf in case you need to be reminded and the bandwagon s full but you can try and run behind it  i m sorry poolside drinking  margarita rounds shout out to my city though i hardly be in town i m the black sheep but chris farley wears the crown and i know life is just a game in which the cards are facing down i m in a world where things are taken  never given how long they choose to love you will never be your decision and i m aware that this could be the last time you listen so while i m still here in this position   chorus  you could thank me now  go  head thank me later  yeah i know what i said but later doesn t always come so instead it s okay  you could thank me now
183,9AM in Dallas Lyrics, verse  these are my one st  thomas flows me  my niggas and some madonna hoes that look just like virgins but trust they down to go discussing life and all our common goals smart kids that smoke weed  honor roll look how the champagne diamonds glow fine dining pour another glass when the wine is low i m in the crib stacking money from here to the ceiling whatever it is i got  it s clearly appealing these other rappers getting that inferior feeling i hope you feel it in your soul  spiritual healing take a look at yourself  the mirror s revealing if you ain t got it  you ain t got it the theory is brilliant people ask how music is going  i heard it pays i just came off making two million in 30 days damn   i guess it does  is what the message was sometimes i feel i be spending my money just because with weezy i m just out here repping us  til i get to shake the hand of the man that s blessing us yeah  i know these niggas miss the mean lyrics kush got the room smelling like teen spirit i ask kindly if no one out here would bring defeat up until i lose  for now i m the game s single leader i fly private so no one tells me to bring my seat up and book a suite where me and your favorite singer meet up who you like  tell me who it is i mma make sure that that woman is the next one on my list i should call it a night  but fuck it i can t resist this one is for all the niggas from my city trying to diss without a response from me you really fail to exist and i love to see you fail  that feeling there is the shit i swear  pussy nigga get your bread up enjoy the seat that the stewardess just forced your ass to let up why your scary ass looking down  pick ya head up no one told you your disguise was the most ridiculous get up  with nose plugs in now  i can smell the set up so you just wasting your time  you only making me better  yeah i try to tell them don t judge me because you heard stuff chase n  cash that s my brother from the surf club damn  that nigga always kept it so hood back when we would smoke good at the oakwoods and have girls fall through like coins in the couch now we just fucking all the bitches they warned us about scared for the first time  everything just clicked what if i don t really do the numbers they predict  considering the fact that i m the one that they just picked to write a chapter in history  this shit has got me sick but if i really do it don t expect to get a split cause this truly is some shit i don t expect for y all to get i m nervous but i mma kill it cause they  bout to let the realest team in throwing up in the huddle nigga  willie beamen but still throwing touchdown passes in tortoise frame glasses  hopin  that someone catch it people say that old drake  we startin  to miss it but they need to be a little more specific is this what y all want  in my best chris tucker impression ducking your questions  fuck your suggestions money gets all of my love and affection cars all black like the cover of essence i m allergic to coming in second but i never sneeze y m o e  nigga  yeah   outro  uh  yeah  this what yall want octobers very own young money atf thank me later in this bitch wasssup free weezy in this bitch wasup june 15th in this bitch wasup noel that s it ahhhhhh
184,Thank Me Later [Booklet] Lyrics,
185,Houstatlantavegas Lyrics, verse 1  hey there  pretty girl you know exactly what you got and i don t blame you at all you can t resist it especially when the light s so bright and the money s so right and it s comin  in every single night she don t wanna leave she just stuck in   chorus  houstatlantavegas  ayy   houstatlantavegas  ayy  houstatlantavegas  ayy   houstatlanta  she just stuck in houstatlantavegas  ayy   houstatlantavegas  ayy  houstatlantavegas  ayy   houstatlantavegas and she dance to the song and she dance to the song and it go   hey now  now  watch her go down  oh  oh  oh   verse 2  she doesn t ever worry if she wants it  she ll get it on her own she knows there s more to life and she s scared of ending up alone   pre chorus  throw your ones up in the air throw your ones up in the air for her throw your ones up in the air   cause the ones you throw will get her out of   chorus  houstatlantavegas  ayy   houstatlantavegas  ayy  houstatlantavegas  ayy   houstatlanta  she just stuck in houstatlantavegas  ayy   houstatlantavegas  ayy  houstatlantavegas  ayy   houstatlantavegas and she dance to the song and she dance to the song and it go   hey now  now  watch her go down  oh  oh   verse 3  we all got dreams and we all star reachin  all start peakin   all star weekend one hotel room that all y all sleep in housekeeper knock to see if all y all decent young girls envy the life y all leadin  never satisfied with a nice calm evenin  you be at the games lookin  right all season but you always with me on the night y all leavin  ask lo  ask lo  i always request you you go get fucked up and we just show up at your rescue carry you inside  get you some water and undress you i give you my all and the next morning you ll forget who or why  or how  or when tonight  it s prolly  bout to happen all over again and she live in a mindset that i could never move to until you find yourself  it s impossible to lose you uh  because i never had you  although i would be glad to i d probably go and tattoo your name on my heart i swear  i start to think that i m going crazy   pre chorus  throw your ones up in the air throw your ones up in the air for her throw your ones up in the air  cause the ones you throw will get her out of   chorus  houstatlantavegas  ayy   houstatlantavegas  ayy  houstatlantavegas  ayy   houstatlanta  she just stuck in houstatlantavegas  ayy   houstatlantavegas  ayy  houstatlantavegas  ayy   houstatlantavegas and she dance to the song and she dance to the song and it go   hey now  now  watch her go down  oh  oh  oh
