,lyrics
120,"['intro', 'partynextdoor', 'young', 'nigga', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'young', 'nigga', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'verse', '1', 'partynextdoor', 'miami', 'need', 'call', 'miss', 'cassidy', 'name', 'party', 'participation', 'sorry', 'miscommunication', 'need', 'drink', 'tequila', 'know', 'trying', 'hey', 'let', 'pop', 'e', 'liv', 'got', 'time', 'blow', 'got', 'money', 'blow', 'got', 'money', 'blow', 'guess', 'know', 'oh', 'secret', 'trust', 'keep', 'old', 'niggas', 'boring', 'bones', 'keep', 'put', 'party', 'tape', 'know', 'going', 'know', 'going', 'keep', 'wet', 'like', 'tsunami', 'think', 'sunk', 'titanic', 'get', 'hot', 'like', 'wasabi', 'think', 'wavy', 'gnarly', 'think', 'pop', 'one', 'drink', 'one', 'chorus', 'partynextdoor', 'drake', 'young', 'nigga', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'young', 'nigga', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'young', 'nigga', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'yeah', 'preach', 'preach', 'verse', '2', 'drake', 'still', 'miami', 'girls', 'messy', 'got', 'ta', 'reflecting', 'got', 'ta', 'find', 'one', 'good', 'taking', 'direction', 'convinced', 'calls', 'recorded', 'hit', 'assistant', 'get', 'message', 'make', 'connection', 'like', 'brrrrr', 'wave', 'tonight', 'hope', 'crazy', 'type', 'yeah', 'state', 'tonight', 'might', 'break', 'bank', 'tonight', 'yeah', 'pnd', 'ray', 'tay', 'know', 'jay', 'wray', 'got', 'girls', 'going', 'way', 'way', 'way', 'way', 'way', 'way', 'sauga', 'city', 'trip', 'pay', 'day', 'glo', 'gate', 'way', 'man', 'afford', 'one', 'thing', 'right', 'whole', 'different', 'story', 'niggas', 'feelings', 'days', 'feelings', 'days', 'hearing', 'scripture', 'many', '6s', 'afraid', 'chorus', 'partynextdoor', 'drake', 'young', 'nigga', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'young', 'nigga', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'young', 'nigga', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'preach', 'outro', 'partynextdoor', 'ciara', 'preaching', 'oooh', 'preaching', 'preaching', 'babe', 'preaching', 'whooo', 'finally', 'finally', 'yeah', 'boy', 'know', 'love', 'always', 'mind', 'deny', 'want']"
121,"['produced', 'ekali', 'partynextdoor', 'verse', '1', 'partynextdoor', 'minute', 'since', 'slept', 'together', 'finna', 'get', 'together', 'thinkin', 'everything', 'know', 'lonely', 'lonely', 'wednesday', 'night', 'girl', 'lonely', 'admit', 'keep', 'quiet', 'girl', 'lonely', 'shit', 'fault', 'girl', 'cause', 'lonely', 'chorus', 'partynextdoor', 'name', 'another', 'woman', 'woman', 'comfort', 'lonely', 'mixing', 'remy', 'little', 'bit', 'henny', 'running', 'empty', 'lonely', 'lonely', 'lonely', 'verse', '2', 'partynextdoor', 'heard', 'spent', 'summers', 'miami', 'somebody', 'yacht', 'buy', 'young', 'yeah', 'fun', 'girl', 'hope', 'worth', 'cause', 'fuck', 'judge', 'fuck', 'love', 'everything', 'ball', 'fuck', 'glad', 'called', 'ring', 'ring', 'ring', 'thing', 'ring', 'ring', 'ring', 'school', 'bell', 'ring', 'got', 'options', 'bae', 'chorus', 'partynextdoor', 'name', 'another', 'woman', 'woman', 'comfort', 'lonely', 'mixing', 'remy', 'little', 'bit', 'henny', 'running', 'empty', 'lonely', 'lonely', 'lonely', 'outro', 'partynextdoor', 'shit', 'fault']"
122,"['produced', 'wondagurl', 'intro', 'drake', 'yeah', 'sound', 'sound', 'sound', 'yeah', 'real', '6', 'side', 'shit', 'sickos', 'ah', 'man', 'verse', '1', 'drake', 'yeah', 'get', 'got', 'ta', 'remind', 'em', 'fuck', 'every', 'time', 'talkin', 'behind', 'back', 'got', 'ta', 'learn', 'line', 'em', 'attack', 'gon', 'say', 'name', 'airwaves', 'gon', 'hit', 'right', 'like', 'rap', 'jewels', 'look', 'like', 'found', 'motherfuckin', 'treasure', 'map', 'told', 'one', 'fuck', 'shout', 'g', 'ends', 'love', 'girls', 'ends', 'gon', 'hit', 'em', 'wham', 'always', 'end', 'man', 'end', 'dog', 'apparent', 'every', 'year', 'see', 'truth', 'staring', 'mirror', 'lookin', 'like', 'yeah', 'like', 'man', 'whoo', 'tryna', 'chance', 'bands', 'like', 'nigga', 'went', 'jackson', 'state', 'grambling', 'young', 'nick', 'cannon', 'snare', 'drum', 'dancin', 'watch', 'way', 'handle', 'uh', 'bring', 'bedroom', 'know', 'shit', 'candle', 'lit', 'know', 'man', 'uh', 'bands', 'like', 'must', 'went', 'clark', 'went', 'hampton', 'playin', 'chorus', 'drake', 'felt', 'pressure', 'little', 'gon', 'na', 'take', 'getting', 'used', 'say', 'floatin', 'city', 'windows', 'puttin', 'like', 'used', 'say', 'never', 'told', 'get', 'crown', 'gon', 'take', 'getting', 'used', 'say', 'new', 'friends', 'old', 'feelings', 'love', 'like', 'used', 'man', 'verse', '2', 'drake', 'way', 'gully', 'gully', 'buddy', 'buddy', 'never', 'needed', 'acceptance', 'never', 'needed', 'nothin', 'understand', 'one', 'want', 'hear', 'understand', 'nothin', 'yeah', 'fuckin', 'glowin', 'shaq', 'postin', 'niggas', 'used', 'posters', 'real', 'quick', 'man', 'hated', 'let', 'real', 'nigga', 'made', 'woo', 'dance', 'dance', 'watch', 'dance', 'fuckin', 'best', 'man', 'advanced', 'drop', 'got', 'new', 'demands', 'meet', 'terms', 'keep', 'movin', 'make', 'sure', 'plane', 'got', 'phone', 'bout', 'land', 'call', 'tell', 'woes', 'home', 'tell', 'em', 'link', 'valet', 'hazy', 'think', 'got', 'shit', 'city', 'going', 'crazy', 'chorus', 'drake', 'felt', 'pressure', 'little', 'gon', 'na', 'take', 'getting', 'used', 'say', 'floatin', 'city', 'windows', 'puttin', 'like', 'used', 'say', 'never', 'told', 'get', 'crown', 'gon', 'take', 'getting', 'used', 'say', 'new', 'friends', 'old', 'feelings', 'love', 'like', 'used', 'man', 'verse', '3', 'lil', 'wayne', 'get', 'fuck', 'got', 'ta', 'remind', 'em', 'money', 'done', 'came', 'went', 'two', 'cents', 'never', 'spent', 'say', 'famous', 'pack', 'gat', 'got', 'ta', 'remind', 'em', 'going', 'gone', 'stepping', 'swisher', 'roach', 'like', 'stepping', 'stone', 'goin', 'nigga', 'throat', 'like', 'herringbone', 'boy', 'smell', 'beef', 'mmmm', 'pheromones', 'got', 'fuckin', 'halo', 'devil', 'horns', 'trap', 'pumpin', 'night', 'like', 'chevron', 'suck', 'nigga', 'dick', 'iphone', '6', 'fuck', 'nigga', 'terry', 'new', 'blackberry', 'get', 'buried', 'ounce', 'katy', 'perry', 'five', 'still', 'remember', 'drought', '87', 'lord', 'tell', 'em', 'bitches', 'got', 'times', 'play', 'games', 'em', 'got', 'time', 'tell', 'love', 'hate', 'sentence', 'fuckin', 'mind', 'got', 'mind', 'control', 'deebo', 'parmesan', 'panino', 'promethazine', 'pinot', 'bloods', 'start', 'shootin', 'b', 'roll', 'bitch', 'chorus', 'drake', 'felt', 'pressure', 'little', 'gon', 'na', 'take', 'getting', 'used', 'say', 'floatin', 'city', 'windows', 'puttin', 'like', 'used', 'say', 'never', 'told', 'get', 'crown', 'gon', 'take', 'getting', 'used', 'say', 'new', 'friends', 'old', 'feelings', 'love', 'like', 'used', 'man', 'outro', 'drake', 'yeah', 'love', 'like', 'used', 'say', 'city', 'windows', 'like', 'used', 'say', 'like', 'take', 'getting', 'used', 'say', 'man', 'love', 'like', 'used', 'man']"
123,"['intro', 'yeah', 'yeah', 'verse', '1', 'boomin', 'south', 'gwinnett', 'like', 'lou', '6', 'man', 'like', 'lou', '2', 'girls', 'get', 'along', 'like', 'lou', 'like', 'lou', 'got', 'new', 'deal', 'matrix', 'took', 'blue', 'pill', 'ho', 'shit', 'fuckin', 'ho', 'shit', 'save', 'shit', 'need', 'fuckin', 'body', 'run', 'shit', 'told', 'yah', 'thought', 'told', 'yah', 'listen', 'fieri', 'kitchen', 'magician', 'like', 'macgyver', 'michael', 'myers', 'kill', 'careers', 'cut', 'lights', 'shit', 'frightenin', 'knew', 'would', 'end', 'like', 'fuckin', 'psychic', 'young', 'makin', 'millions', 'work', 'night', 'shift', 'chorus', 'yeah', 'work', 'night', 'shift', 'young', 'makin', 'millions', 'work', 'night', 'shift', 'work', 'work', 'night', 'shift', 'verse', '2', 'young', 'gettin', 'every', 'single', 'motherfuckin', 'thing', 'owed', 'got', 'ta', 'know', 'fuck', 'nigga', 'souls', 'heart', 'cold', 'prolly', 'cause', 'snow', 'woes', 'know', 'wan', 'na', 'see', 'go', 'roll', 'mean', 'back', 'know', 'truth', 'let', 'pretend', 'friend', 'guy', 'buddy', 'show', 'lovin', 'might', 'go', 'demarcus', 'cousins', 'public', 'man', 'back', 'fuckin', 'tape', 'cnn', 'tryna', 'win', 'awards', 'shit', 'looked', 'forced', 'nothin', 'like', 'young', 'makin', 'millions', 'work', 'night', 'shift', 'chorus', 'yeah', 'work', 'night', 'shift', 'young', 'makin', 'millions', 'work', 'night', 'shift', 'work', 'work', 'night', 'shift', 'lou', 'outro', 'worried', 'saw', 'club', 'went', 'homies', 'baby', 'worry', 'know', 'got', 'never', 'worried', 'saw', 'club', 'go', 'homies', 'baby', 'worry', 'know', 'got']"
124,"['produced', 'jimmy', 'johnson', 'eric', 'dingus', 'bridge', '1', 'yeah', 'leaving', 'gone', 'stay', 'sleep', 'floor', 'man', 'leaving', 'leaving', 'know', 'got', 'reasons', 'yeah', 'leaving', 'yeah', 'leaving', 'yeah', 'leaving', 'gone', 'leaving', 'gone', 'knock', 'wall', 'yeah', 'swear', 'god', 'gone', 'leaving', 'leaving', 'looking', 'back', 'gone', 'looking', 'back', 'gone', 'chorus', 'verse', '1', 'yeah', 'leaving', 'gone', 'wrong', 'long', 'leaving', 'leaving', 'know', 'got', 'reasons', 'yeah', 'leaving', 'leaving', 'leaving', 'gone', 'leaving', 'gone', 'wan', 'na', 'miss', 'boat', 'wan', 'na', 'sit', 'coach', 'wan', 'na', 'sit', 'home', 'got', 'ta', 'get', 'going', 'afraid', 'die', 'get', 'going', 'know', 'alone', 'know', 'got', 'ta', 'hit', 'road', 'got', 'ta', 'know', 'road', 'got', 'ta', 'hit', 'road', 'got', 'ta', 'know', 'road', 'got', 'ta', 'know', 'road', 'bridge', '2', 'something', 'say', 'say', 'bad', 'way', 'back', 'laid', 'back', 'shit', 'laid', 'back', 'shit', 'got', 'something', 'say', 'say', 'bad', 'way', 'back', 'got', 'ta', 'get', 'road', 'got', 'ta', 'get', 'road', 'looking', 'back', 'chorus', 'verse', '2', 'got', 'ta', 'go', 'get', 'want', 'know', 'want', 'know', 'went', 'keep', 'telling', 'let', 'go', 'let', 'go', 'let', 'bring', 'home', 'let', 'go', 'let', 'bring', 'home', 'forever', 'bring', 'home', 'let', 'go', 'let', 'bring', 'home', 'let', 'go', 'let', 'bring', 'home', 'let', 'go', 'let', 'bring', 'home', 'let', 'go', 'let', 'bring', 'home', 'forever', 'bring', 'home', 'let', 'go', 'let', 'bring', 'home', 'let', 'go', 'let', 'bring', 'home', 'forever', 'bring', 'home', 'forever', 'bring', 'home']"
125,"['verse', '1', 'drake', 'got', 'shit', 'come', 'get', 'st', 'regis', 'briar', 'oaks', 'hit', 'done', 'shift', 'wooh', 'see', 'doin', 'well', 'baby', 'oh', 'pullin', 'shit', 'together', 'tell', 'baby', 'single', 'need', 'girl', 'country', 'need', 'girl', 'kentucky', 'need', 'shawty', 'houston', 'need', 'girl', 'gon', 'love', 'need', 'girl', 'gon', 'trust', 'someone', 'fuck', 'someone', 'make', 'feel', 'lucky', 'someone', 'proud', 'walk', 'right', 'ex', 'look', 'dead', 'face', 'say', 'got', 'juice', 'like', 'got', 'juice', 'like', 'cold', 'ice', 'cold', 'girl', 'like', 'like', 'got', 'ta', 'come', 'quick', 'quick', 'oh', 'club', 'cashin', 'eric', 'hit', 'done', 'shift', 'know', 'girl', 'propose', 'different', 'shit', '9am', 'already', 'cookin', 'kitchen', 'shit', 'lately', 'fightin', 'love', 'strippers', 'shit', 'yeah', 'workin', 'spatula', 'know', 'love', 'flippin', 'shit', 'oh', 'oh', 'deserve', 'least', 'fuckin', 'know', 'little', 'perfect', 'little', 'worth', 'deserve', 'text', 'man', 'never', 'call', 'still', 'canine', 'heart', 'dog', 'yeah', 'got', 'ta', 'come', 'quick', 'quick', 'posted', 'derek', 'westheimer', 'hit', 'done', 'shift', 'yeah', 'chorus', 'drake', 'need', 'company', 'need', 'company', 'need', 'take', 'mind', 'prime', 'company', 'interlude', 'travis', 'scott', 'dog', 'heat', 'baby', 'heat', 'baby', 'dog', 'heat', 'baby', 'dog', 'dog', 'heat', 'baby', 'heat', 'baby', 'mo', 'city', 'trip', 'mo', 'city', 'trip', 'right', 'yeah', 'mo', 'city', 'trip', 'mo', 'city', 'trip', 'right', 'ayy', 'ayy', 'mo', 'city', 'trip', 'right', 'mo', 'city', 'trip', 'mo', 'city', 'trip', 'right', 'verse', '2', 'travis', 'scott', 'couple', 'faces', 'nigga', 'piped', 'let', 'go', 'find', 'place', 'sip', 'right', 'tour', 'round', 'city', 'shit', 'right', 'kinda', 'lit', 'right', 'right', 'pop', 'couple', 'percs', 'let', 'get', 'right', 'saturday', 'nights', 'bed', 'right', 'call', 'girl', 'put', 'heels', 'gettin', 'rowdy', 'rowdy', 'right', 'yeah', 'mo', 'city', 'trip', 'dog', 'dog', 'heat', 'baby', 'heat', 'baby', 'dog', 'go', 'ham', 'hog', 'bitch', 'bad', 'coulda', 'thought', 'owed', 'somethin', 'way', 'broke', 'broke', 'get', 'take', 'take', 'drank', 'long', 'year', 'cough', 'cough', 'fantasizin', 'fistin', 'switchin', 'positions', 'straight', 'mind', 'menage', 'little', 'la', 'flame', 'outro', 'travis', 'scott', 'mo', 'city', 'trip', 'right', 'mo', 'city', 'trip', 'right', 'mo', 'city', 'trip', 'right']"
126,"['intro', 'rider', 'shit', 'verse', '1', 'conversations', 'mama', 'man', 'life', 'mess', 'returning', 'texts', 'reading', 'press', 'got', 'google', 'alerts', 'shits', 'go', 'straight', 'phone', 'worry', 'bout', 'home', 'know', 'raised', 'alone', 'said', 'heard', 'back', 'know', 'told', 'girl', 'always', 'back', 'know', 'yeah', 'like', 'kidding', '27', 'father', 'child', 'man', 'thank', 'god', 'got', 'least', 'always', 'least', 'always', 'see', 'least', 'always', 'true', 'taught', 'retired', 'teacher', 'words', 'still', 'got', 'evolvin', 'never', 'get', 'sloppy', 'drunk', 'alcohol', 'problem', 'solvin', 'look', 'hate', 'hate', 'girlfriends', 'assistants', 'always', 'convinced', 'someone', 'better', 'like', 'girl', 'gym', 'trains', 'know', 'wan', 'na', 'arrange', 'told', 'free', 'thursday', 'sure', 'angel', 'want', 'life', 'timing', 'right', 'maybe', 'one', 'day', 'even', 'one', 'day', 'us', 'time', 'life', 'things', 'people', 'pay', 'document', 'got', 'sweetest', 'heart', 'give', 'compliments', 'boost', 'nobody', 'confidence', 'momma', 'got', 'friends', 'momma', 'pretend', 'momma', 'joke', 'momma', 'pull', 'knife', 'back', 'cut', 'throat', 'momma', 'game', 'thrones', 'momma', 'home', 'alone', 'momma', 'really', 'hate', 'using', 'tone', 'momma', 'really', 'hate', 'gettin', 'aggressive', 'phone', 'momma', 'really', 'hate', 'wasting', 'time', 'check', 'clone', 'two', 'momma', 'cloning', 'momma', 'niggas', 'wannabes', 'momma', 'like', 'one', 'wan', 'na', 'momma', 'vulnerable', 'momma', 'mean', 'kill', 'em', 'every', 'time', 'song', 'momma', 'sing', 'hook', 'sing', 'along', 'momma', 'want', 'momma', 'yeah', 'crazy', 'life', 'six', 'raised', 'right', 'ever', 'take', 'advice', 'great', 'advice', 'refrain', 'six', 'raised', 'right', 'shit', 'saved', 'life', 'verse', '2', 'yeah', 'conversations', 'momma', 'start', 'talkin', 'bout', 'dad', 'know', 'dropping', 'single', 'saying', 'window', 'nigga', 'still', 'wearing', 'linen', 'nigga', 'still', 'club', 'call', 'get', 'phone', 'show', 'love', 'nigga', 'memphis', 'real', 'girl', 'love', 'death', 'made', 'mistakes', 'throughout', 'life', 'still', 'accept', 'want', 'forgiveness', 'fuck', 'look', 'living', 'content', 'story', 'forgive', 'least', 'prison', 'least', 'know', 'like', 'used', 'rap', 'phone', 'one', 'friends', 'life', 'got', 'grammy', 'could', 'part', 'reason', 'let', 'call', 'shit', 'even', 'got', 'things', 'believe', 'remember', 'back', 'weston', 'road', 'scarlett', 'road', 'hangin', 'aaron', 'bell', 'reny', 'shit', 'could', 'gone', 'south', 'looked', 'never', 'let', 'drugs', 'let', 'shoot', 'gun', 'one', 'summer', 'everyone', 'made', 'listen', 'music', 'old', 'music', 'soul', 'music', 'shit', 'created', 'go', 'used', 'get', 'teased', 'black', 'black', 'enough', 'cause', 'acting', 'tough', 'making', 'stories', 'bout', 'actually', 'yeah', 'roll', 'momma', 'rolling', 'stone', 'momma', 'got', 'ta', 'careful', 'around', 'rolling', 'stone', 'anyone', 'tryna', 'throw', 'stones', 'momma', 'condoning', 'momma', 'tear', 'nothing', 'built', 'home', 'momma', 'know', 'call', 'enough', 'momma', 'working', 'little', 'time', 'personal', 'momma', 'yeah', 'hard', 'labor', 'let', 'pay', 'price', 'refrain', 'six', 'raised', 'right', 'shit', 'saved', 'life']"
127,"['chorus', 'gabriel', 'garz', 'n', 'montano', 'rock', 'real', 'slowly', 'put', 'bib', 'like', 'baby', 'droolin', 'things', 'verse', '1', 'drake', 'days', 'lettin', 'god', 'handle', 'things', 'things', 'change', 'reason', 'love', 'listen', 'hear', 'callin', 'name', 'place', 'sit', 'one', 'place', 'ashamed', 'still', 'findin', 'let', 'alone', 'soulmate', 'sayin', 'feel', 'like', 'one', 'relationship', 'changed', 'never', 'existed', 'whenever', 'say', 'somethin', 'bout', 'us', 'listen', 'fuck', 'talkin', 'timeline', 'cuttin', 'time', 'fuck', 'talkin', 'timeline', 'cuttin', 'time', 'time', 'chorus', 'gabriel', 'garz', 'n', 'montano', 'rock', 'real', 'slowly', 'put', 'bib', 'like', 'baby', 'droolin', 'things', 'verse', '2', 'drake', 'said', 'everything', 'love', 'everything', 'done', 'everything', 'forgave', 'everything', 'forever', 'thing', 'hate', 'treat', 'like', 'whatever', 'thing', 'trust', 'girl', 'shit', 'everything', 'jungle', 'jungle', 'take', 'somebody', 'else', 'car', 'drive', 'undercover', 'shit', 'everything', 'shit', 'everything', 'know', 'stand', 'used', 'hit', 'bout', 'everything', 'bridge', 'drake', 'still', 'good', 'still', 'good', 'still', 'good', 'still', 'good', 'need', 'talk', 'around', 'cause', 'cause', 'pre', 'chorus', 'drake', 'cause', 'still', 'still', 'still', 'chorus', 'gabriel', 'garz', 'n', 'montano', 'rock', 'real', 'slowly', 'put', 'bib', 'like', 'baby', 'droolin', 'things', 'verse', '3', 'drake', 'yeah', 'days', 'new', 'girls', 'got', 'nervous', 'go', 'school', 'bottle', 'service', 'decide', 'keep', 'switchin', 'majors', 'indecisive', 'makes', 'anxious', 'call', 'number', 'service', 'pre', 'chorus', 'drake', 'call', 'information', 'supposed', 'done', 'everything', 'done', 'replacement', 'still', 'good', 'still', 'good', 'still', 'good', 'still', 'good', 'chorus', 'gabriel', 'garz', 'n', 'montano', 'rock', 'real', 'slowly', 'put', 'bib', 'like', 'baby', 'droolin', 'things']"
128,"['intro', 'yeah', 'yeah', 'verse', 'oh', 'got', 'ta', 'love', 'oh', 'got', 'oh', 'got', 'ta', 'love', 'heard', 'circulated', 'let', 'get', 'bottom', 'told', '1da', 'send', 'something', 'got', 'covered', 'somehow', 'always', 'rise', 'think', 'got', 'head', 'clouds', 'last', 'album', 'cover', 'game', 'mine', 'mighty', 'possessive', 'lil', 'wayne', 'could', 'found', 'better', 'successor', 'every', 'shot', 'see', 'em', 'take', 'contested', 'allen', 'iverson', 'shoe', 'deal', 'niggas', 'question', 'last', 'night', 'went', 'sleep', 'wanting', 'tryna', 'decide', 'direction', 'go', 'towards', 'nights', 'wish', 'could', 'go', 'back', 'life', 'change', 'shit', 'feel', 'couple', 'things', 'twice', '28', 'midnight', 'wonder', 'next', 'longevity', 'wonder', 'long', 'check', 'prolly', 'forever', 'stay', 'zone', 'speak', 'generation', 'change', 'alone', 'heard', 'lil', 'lil', 'homie', 'talking', 'reckless', 'vibe', 'quite', 'platform', 'chose', 'kept', 'inside', 'oh', 'tried', 'childish', 'calling', 'name', 'world', 'stage', 'need', 'act', 'age', 'girl', 'age', 'gets', 'worse', 'annual', 'career', 'like', 'manual', 'guess', 'understandable', 'man', 'oh', 'got', 'ta', 'love', 'got', 'ta', 'love', 'yeah', 'know', 'rappers', 'call', 'paparazzi', 'come', 'get', 'em', 'show', 'outfits', 'guess', 'need', 'attention', 'remember', 'used', 'music', 'times', 'changed', 'man', 'kiddin', 'managed', 'friends', 'grew', 'rather', 'give', '15', 'people', 'fuck', 'future', 'made', 'rappin', 'prolly', 'silicon', 'tryna', 'get', 'billions', 'yeah', 'lately', 'feel', 'haters', 'eatin', 'away', 'confidence', 'scream', 'failures', 'whisper', 'accomplishments', 'bitches', 'alter', 'messages', 'like', 'words', 'stories', 'bout', 'life', 'hit', 'net', 'like', 'bad', 'serve', 'bitter', 'women', 'overtextin', 'pmsing', 'crazy', 'year', 'fuckin', 'image', 'tryna', 'reach', 'youth', 'save', 'em', 'year', 'fuck', 'guess', 'got', 'ta', 'wait', 'til', 'next', 'year', 'heard', 'someone', 'say', 'something', 'stuck', 'lot', 'bout', 'need', 'protection', 'protectin', 'block', 'nobody', 'lookin', 'nobody', 'maybe', 'try', 'help', 'somebody', 'somebody', 'instead', 'bein', 'somebody', 'makes', 'news', 'everybody', 'tweet', 'start', 'r', 'p', 'four', 'weeks', 'later', 'nobody', 'even', 'speaks', 'damn', 'say', 'piece', 'oh', 'got', 'ta', 'love', 'scared', 'truth', 'back', 'showin', 'public', 'hotter', 'subject', 'whippin', 'mercedes', 'nigga', 'try', 'budget', 'got', 'ta', 'make', 'back', 'memphis', 'check', 'cousins', 'shout', 'ashley', 'tasha', 'bianca', 'julia', 'ericka', 'southern', 'america', 'part', 'heritage', 'pardon', 'arrogance', 'part', 'hair', 'comeback', 'flow', 'comeback', 'flow', 'start', 'apparent', 'girl', 'ass', 'big', 'partly', 'embarrassin', 'fuck', 'blushin', 'fuck', 'discussions', 'fuck', 'judgement', 'content', 'aggressive', 'lately', 'irkin', 'shit', 'gettin', 'personal', 'verses', 'wan', 'na', 'prove', 'number', 'one', 'niggas', 'bein', 'number', 'two', 'first', 'lose', 'city', 'dictated', 'music', 'nobody', 'seein', 'us', 'winter', 'already', 'somehow', 'heatin', 'observin', 'game', 'felt', 'like', 'seen', 'enough', 'let', 'drop', 'tape', 'niggas', 'see', 'wassup', 'yeah', 'boy', 'rappin', 'like', 'seen', 'rappin', 'like', 'throne', 'three', 'best', 'ever', 'seems', 'like', 'decade', 'ago', 'decadent', 'flow', 'still', 'got', 'decade', 'go', 'oh', 'please', 'take', 'ease', 'love', 'peace', 'rappin', 'like', 'come', 'streets', 'got', 'backyard', 'money', 'seems', 'come', 'trees', 'never', 'ever', 'scared', 'get', 'blood', 'leaves', 'phantom', 'slidin', 'like', 'shit', 'hit', 'puddle', 'grease', 'cook', 'beef', 'well', 'done', 'double', 'cheese', 'special', 'order', 'anybody', 'comin', 'shit', 'probably', 'flinch', 'somebody', 'sneeze', 'see', 'got', 'back', 'talkin', 'like', '40', 'oli', 'cuttin', 'loose', 'ends', 'barber', 'free', 'almost', 'four', 'minutes', 'goin', 'beat', 'feel', 'like', 'malibu', 'cloth', 'seats', 'man', 'oh', 'got', 'ta', 'love', 'yeah', 'top', 'getting', 'harder', 'eat', 'rappers', 'downgrading', 'houses', 'putting', 'cars', 'lease', 'think', 'labels', 'said', 'problem', 'marketing', 'everybody', 'else', 'getting', 'hard', 'believe', 'man', 'oh', 'got', 'ta', 'love', 'oh', 'yeah', 'head', 'toe', 'prada', 'covered', 'whoop', 'know', 'girl', 'well', 'public', 'blame', 'city', 'product', 'young', 'nigga', 'city', 'got', 'ta', 'love', 'outro', 'yeah', 'got', 'ta', 'love', 'laughs', 'yeah']"
129,"['intro', 'shit', 'talking', 'bout', 'though', 'like', 'changed', 'even', 'fuckin', 'link', 'nobody', 'dash', 'away', 'like', 'cyattie', 'yo', 'cheesed', 'dog', 'verse', '1', 'always', 'felt', 'like', 'vision', 'bigger', 'bigger', 'picture', 'crazy', 'got', 'ta', 'wait', 'dark', 'see', 'really', 'crazy', 'even', 'miss', 'shit', 'come', 'back', 'around', 'get', 'crazy', 'like', 'niggas', 'crazy', 'like', 'niggas', 'remember', 'deleted', 'girls', 'numbers', 'phone', 'remember', 'take', 'bar', 'exam', 'drove', 'snow', 'yeah', 'probably', 'remember', 'half', 'shit', 'nigga', 'yeah', 'chorus', 'yeah', 'really', 'fuck', 'way', 'back', 'bout', 'cause', 'right', 'right', 'stuck', 'right', 'stuck', 'right', 'oh', 'thought', 'figured', 'back', 'bout', 'cause', 'right', 'right', 'stuck', 'right', 'yeah', 'stuck', 'right', 'thought', 'little', 'effort', 'put', 'enough', 'girl', 'bout', 'yeah', 'girl', 'bout', 'bout', 'girl', 'girl', 'bout', 'interlude', 'heart', 'belongs', 'verse', '2', 'yeah', 'always', 'daddy', 'little', 'angel', 'bought', 'dad', 'bunch', 'shit', 'christmas', 'even', 'say', 'thank', 'money', 'left', 'actin', 'focused', 'music', 'used', 'always', 'try', 'burn', 'cds', 'new', 'shit', 'like', 'like', 'girl', 'like', 'oh', 'word', 'true', 'shit', 'ask', 'could', 'listen', 'ludacris', 'car', 'rides', 'made', 'feel', 'like', 'losin', 'yeah', 'made', 'feel', 'like', 'average', 'like', 'started', 'drinkin', 'way', 'used', 'people', 'form', 'habits', 'like', 'girl', 'yeah', 'man', 'enough', 'tell', 'hurt', 'year', 'even', 'christian', 'still', 'went', 'church', 'year', 'guess', 'pretend', 'year', 'even', 'see', 'friends', 'year', 'places', 'chorus', 'yeah', 'really', 'fuck', 'way', 'back', 'bout', 'cause', 'right', 'right', 'stuck', 'right', 'stuck', 'right', 'oh', 'thought', 'figured', 'back', 'girl', 'bout', 'cause', 'right', 'right', 'stuck', 'right', 'yeah', 'stuck', 'right', 'thought', 'little', 'effort', 'put', 'enough', 'girl', 'bout', 'yeah', 'girl', 'bout', 'bout', 'girl', 'girl', 'bout', 'outro', 'heart', 'belongs', 'whatever', 'need', 'nothin', 'whatever', 'need', 'nothin', 'whatever', 'need', 'nothin', 'whatever', 'need', 'nothin']"
